UDI,Date,ID,Internal_Pressure[MPa],Battery_Charging_Current[A],coolant_temp[C],carbon monoxide_content[grams/sec],Oil_Viscosity[cSt],Age[days],Machine_failure
1,5/6/1994,M14860,42.8,2.602348993,81.2,0.0076612,9.668294701,863.8,0
2,5/7/1994,L47181,46.3,2.362416107,81.3,0.0082877,10.45892628,867.3,0
3,5/8/1994,L47182,49.4,2.513422819,81.1,0.0088426,11.15919996,870.4,0
4,5/9/1994,L47183,39.5,2.404362416,81.2,0.0070705,8.922842072,860.5,0
5,5/10/1994,L47184,40,2.362416107,81.3,0.00716,9.03578944,861,0
6,5/11/1994,M14865,41.9,2.390939597,81.2,0.0075001,9.464989438,862.9,0
7,5/12/1994,L47186,42.4,2.61409396,81.2,0.0075896,9.577936806,863.4,0
8,5/13/1994,L47187,40.2,2.562080537,81.2,0.0071958,9.080968387,861.2,0
9,5/14/1994,M14868,28.6,2.796979866,81.3,0.0051194,6.46058945,849.6,0
10,5/15/1994,M14869,28,2.92114094,81.6,0.005012,6.325052608,849,0
11,5/16/1994,H29424,23.9,2.989932886,81.5,0.0042781,5.39888419,844.9,0
12,5/17/1994,H29425,44.3,2.387583893,81.7,0.0079297,10.0071368,865.3,0
13,5/18/1994,M14872,51.1,2.246644295,81.7,0.0091469,11.54322101,872.1,0
14,5/19/1994,M14873,30,2.922818792,81.8,0.00537,6.77684208,851,0
15,5/20/1994,L47194,19.6,3.41442953,81.8,0.0035084,4.427536826,840.6,0
16,5/21/1994,L47195,48.4,2.587248322,81.8,0.0086636,10.93330522,869.4,0
17,5/22/1994,M14876,46.6,2.19966443,81.8,0.0083414,10.5266947,867.6,0
18,5/23/1994,M14877,45.6,2.365771812,81.8,0.0081624,10.30079996,866.6,0
19,5/24/1994,H29432,54.5,2.191275168,81.8,0.0097555,12.31126311,875.5,0
20,5/25/1994,M14879,32.5,2.738255034,81.9,0.0058175,7.34157892,853.5,0
21,5/26/1994,H29434,42.7,2.30704698,81.9,0.0076433,9.645705227,863.7,0
22,5/27/1994,L47201,44.8,2.432885906,81.9,0.0080192,10.12008417,865.8,0
23,5/28/1994,M14882,30.7,2.652684564,81.9,0.0054953,6.934968395,851.7,0
24,5/29/1994,L47203,25.7,2.94966443,82,0.0046003,5.805494715,846.7,0
25,5/30/1994,M14884,37.3,2.619127517,82,0.0066767,8.425873653,858.3,0
26,5/31/1994,L47205,23.3,3.122483221,82.1,0.0041707,5.263347349,844.3,0
27,6/1/1994,L47206,39,2.536912752,82.1,0.006981,8.809894704,860,0
28,6/2/1994,H29441,24.6,3.038590604,82,0.0044034,5.557010506,845.6,0
